source,doc_id,condition,sentiment_label,p_pos,p_neg,p_neu,signed_polarity,affective_extremity,is_subjective
gpt,670,detector_aware,NEUTRAL,0.04348,0.075068,0.881452,-0.031588,0.118548,0
mistral,670,detector_aware,NEUTRAL,0.034496,0.041856,0.923648,-0.00736,0.076352,0
gpt,670,detector_evasive,NEUTRAL,0.111124,0.053627,0.835248,0.057497,0.164752,0
mistral,670,detector_evasive,NEUTRAL,0.071478,0.063468,0.865054,0.00801,0.134946,0
human,671,-,NEUTRAL,0.05044,0.170896,0.778664,-0.120456,0.221336,0
gpt,671,baseline,NEUTRAL,0.439546,0.018893,0.541561,0.420653,0.458439,0
mistral,671,baseline,NEUTRAL,0.044792,0.050985,0.904223,-0.006193,0.095777,0
gpt,671,human_like,NEUTRAL,0.05199,0.035309,0.912701,0.016681,0.087299,0
mistral,671,human_like,NEUTRAL,0.040835,0.028518,0.930647,0.012317,0.069353,0
gpt,671,detector_aware,NEUTRAL,0.03697,0.147237,0.815794,-0.110267,0.184206,0
mistral,671,detector_aware,NEUTRAL,0.110268,0.022758,0.866974,0.08751,0.133026,0
gpt,671,detector_evasive,NEUTRAL,0.064751,0.044236,0.891013,0.020516,0.108987,0
mistral,671,detector_evasive,NEUTRAL,0.036216,0.097217,0.866567,-0.061,0.133433,0
human,672,-,NEUTRAL,0.01411,0.246084,0.739806,-0.231974,0.260194,0
gpt,672,baseline,NEUTRAL,0.199571,0.041172,0.759257,0.1584,0.240743,0
mistral,672,baseline,NEUTRAL,0.021199,0.041447,0.937354,-0.020249,0.062646,0
gpt,672,human_like,NEUTRAL,0.069102,0.063583,0.867315,0.005519,0.132685,0
mistral,672,human_like,NEUTRAL,0.020397,0.027561,0.952041,-0.007164,0.047959,0
gpt,672,detector_aware,NEUTRAL,0.057179,0.102464,0.840357,-0.045285,0.159643,0
mistral,672,detector_aware,NEUTRAL,0.0728,0.062092,0.865108,0.010708,0.134892,0
gpt,672,detector_evasive,NEUTRAL,0.071303,0.060211,0.868486,0.011092,0.131514,0
mistral,672,detector_evasive,NEUTRAL,0.063505,0.092709,0.843786,-0.029204,0.156214,0
human,673,-,NEUTRAL,0.061386,0.107679,0.830935,-0.046294,0.169065,0
gpt,673,baseline,NEUTRAL,0.164808,0.037899,0.797293,0.126909,0.202707,0
mistral,673,baseline,NEUTRAL,0.053684,0.029745,0.916572,0.023939,0.083428,0
gpt,673,human_like,NEUTRAL,0.074344,0.07174,0.853916,0.002604,0.146084,0
mistral,673,human_like,NEUTRAL,0.177241,0.037791,0.784968,0.13945,0.215032,0
gpt,673,detector_aware,NEUTRAL,0.105478,0.157982,0.73654,-0.052505,0.26346,0
mistral,673,detector_aware,NEUTRAL,0.014221,0.036856,0.948923,-0.022635,0.051077,0
gpt,673,detector_evasive,NEUTRAL,0.068731,0.252304,0.678965,-0.183573,0.321035,0
mistral,673,detector_evasive,NEUTRAL,0.035463,0.100325,0.864212,-0.064862,0.135788,0
human,674,-,NEGATIVE,0.028247,0.663774,0.307979,-0.635527,0.692021,1
gpt,674,baseline,NEUTRAL,0.35841,0.029835,0.611756,0.328575,0.388244,0
mistral,674,baseline,NEUTRAL,0.03474,0.03061,0.93465,0.00413,0.06535,0
gpt,674,human_like,NEUTRAL,0.076546,0.05493,0.868524,0.021616,0.131476,0
mistral,674,human_like,NEUTRAL,0.039398,0.017544,0.943058,0.021854,0.056942,0
gpt,674,detector_aware,NEUTRAL,0.06672,0.113884,0.819396,-0.047165,0.180604,0
mistral,674,detector_aware,NEUTRAL,0.013329,0.047595,0.939077,-0.034266,0.060923,0
gpt,674,detector_evasive,NEUTRAL,0.089037,0.08694,0.824023,0.002097,0.175977,0
mistral,674,detector_evasive,NEUTRAL,0.158559,0.057693,0.783748,0.100866,0.216252,0
human,675,-,NEUTRAL,0.011718,0.016602,0.97168,-0.004884,0.02832,0
gpt,675,baseline,NEUTRAL,0.030403,0.025436,0.944161,0.004966,0.055839,0
mistral,675,baseline,NEUTRAL,0.013732,0.461688,0.524579,-0.447956,0.475421,0
gpt,675,human_like,NEUTRAL,0.023971,0.190504,0.785526,-0.166533,0.214474,0
mistral,675,human_like,NEUTRAL,0.016121,0.036873,0.947006,-0.020752,0.052994,0
gpt,675,detector_aware,NEUTRAL,0.044621,0.14454,0.810839,-0.099919,0.189161,0
mistral,675,detector_aware,NEUTRAL,0.019887,0.183413,0.796701,-0.163526,0.203299,0
gpt,675,detector_evasive,NEUTRAL,0.042183,0.264446,0.693371,-0.222263,0.306629,0
mistral,675,detector_evasive,NEUTRAL,0.047374,0.266439,0.686187,-0.219065,0.313813,0
human,676,-,NEUTRAL,0.069592,0.042027,0.888381,0.027564,0.111619,0
gpt,676,baseline,NEUTRAL,0.097402,0.020655,0.881943,0.076748,0.118057,0
mistral,676,baseline,NEUTRAL,0.016637,0.055004,0.92836,-0.038367,0.07164,0
gpt,676,human_like,NEUTRAL,0.045685,0.097258,0.857057,-0.051573,0.142943,0
mistral,676,human_like,NEUTRAL,0.028934,0.018056,0.95301,0.010878,0.04699,0
gpt,676,detector_aware,NEUTRAL,0.051033,0.093047,0.85592,-0.042014,0.14408,0
mistral,676,detector_aware,NEUTRAL,0.064133,0.074165,0.861702,-0.010032,0.138298,0
gpt,676,detector_evasive,NEUTRAL,0.046307,0.290433,0.663261,-0.244126,0.336739,0
mistral,676,detector_evasive,NEGATIVE,0.015441,0.671056,0.313503,-0.655615,0.686497,1
human,677,-,NEUTRAL,0.057636,0.111055,0.831309,-0.053419,0.168691,0
gpt,677,baseline,NEUTRAL,0.05171,0.035174,0.913116,0.016536,0.086884,0
mistral,677,baseline,NEUTRAL,0.328414,0.049597,0.62199,0.278817,0.37801,0
gpt,677,human_like,NEUTRAL,0.033555,0.082813,0.883632,-0.049257,0.116368,0
mistral,677,human_like,NEUTRAL,0.032733,0.069632,0.897636,-0.036899,0.102364,0
gpt,677,detector_aware,NEUTRAL,0.022944,0.279021,0.698035,-0.256076,0.301965,0
mistral,677,detector_aware,NEUTRAL,0.013745,0.041672,0.944583,-0.027926,0.055417,0
gpt,677,detector_evasive,NEUTRAL,0.053418,0.323936,0.622646,-0.270517,0.377354,0
mistral,677,detector_evasive,NEUTRAL,0.024254,0.371712,0.604034,-0.347457,0.395966,0
human,678,-,NEGATIVE,0.025162,0.701471,0.273367,-0.676309,0.726633,1
gpt,678,baseline,NEUTRAL,0.138976,0.091219,0.769805,0.047757,0.230195,0
mistral,678,baseline,NEUTRAL,0.024941,0.057161,0.917898,-0.03222,0.082102,0
gpt,678,human_like,NEUTRAL,0.044461,0.158665,0.796874,-0.114204,0.203126,0
mistral,678,human_like,NEUTRAL,0.019266,0.210451,0.770284,-0.191185,0.229716,0
gpt,678,detector_aware,NEUTRAL,0.03082,0.16511,0.80407,-0.134289,0.19593,0
mistral,678,detector_aware,NEUTRAL,0.107357,0.084563,0.80808,0.022795,0.19192,0
gpt,678,detector_evasive,NEUTRAL,0.088272,0.150475,0.761254,-0.062203,0.238746,0
mistral,678,detector_evasive,NEGATIVE,0.018072,0.593327,0.388601,-0.575254,0.611399,1
human,679,-,NEUTRAL,0.025479,0.09787,0.876651,-0.07239,0.123349,0
gpt,679,baseline,NEUTRAL,0.034867,0.08691,0.878223,-0.052042,0.121777,0
mistral,679,baseline,NEUTRAL,0.01504,0.106335,0.878625,-0.091296,0.121375,0
gpt,679,human_like,NEUTRAL,0.062464,0.080449,0.857087,-0.017985,0.142913,0
mistral,679,human_like,NEUTRAL,0.025292,0.051409,0.923299,-0.026117,0.076701,0
gpt,679,detector_aware,NEUTRAL,0.056129,0.128593,0.815278,-0.072465,0.184722,0
mistral,679,detector_aware,NEUTRAL,0.076605,0.061024,0.86237,0.015581,0.13763,0
gpt,679,detector_evasive,NEUTRAL,0.072185,0.170492,0.757323,-0.098307,0.242677,0
mistral,679,detector_evasive,NEGATIVE,0.052151,0.56367,0.384179,-0.511519,0.615821,1
human,680,-,NEUTRAL,0.027784,0.050322,0.921894,-0.022538,0.078106,0
gpt,680,baseline,NEUTRAL,0.049115,0.037365,0.91352,0.011751,0.08648,0
mistral,680,baseline,NEUTRAL,0.023776,0.107357,0.868867,-0.08358,0.131133,0
gpt,680,human_like,NEUTRAL,0.036056,0.473942,0.490003,-0.437886,0.509997,0
mistral,680,human_like,NEUTRAL,0.016758,0.082162,0.90108,-0.065404,0.09892,0
gpt,680,detector_aware,NEUTRAL,0.04729,0.096108,0.856602,-0.048817,0.143398,0
mistral,680,detector_aware,NEUTRAL,0.012557,0.399798,0.587645,-0.38724,0.412355,0
gpt,680,detector_evasive,NEUTRAL,0.049027,0.337634,0.613339,-0.288607,0.386661,0
mistral,680,detector_evasive,NEUTRAL,0.064266,0.302798,0.632936,-0.238532,0.367064,0
human,681,-,NEUTRAL,0.049994,0.038626,0.91138,0.011368,0.08862,0
gpt,681,baseline,NEUTRAL,0.033414,0.149864,0.816722,-0.11645,0.183278,0
mistral,681,baseline,NEUTRAL,0.024249,0.438924,0.536827,-0.414675,0.463173,0
gpt,681,human_like,NEUTRAL,0.048513,0.085329,0.866158,-0.036816,0.133842,0
mistral,681,human_like,NEUTRAL,0.024442,0.049393,0.926165,-0.024952,0.073835,0
gpt,681,detector_aware,NEUTRAL,0.037285,0.166627,0.796088,-0.129342,0.203912,0
mistral,681,detector_aware,NEUTRAL,0.018552,0.20889,0.772558,-0.190338,0.227442,0
gpt,681,detector_evasive,NEUTRAL,0.069332,0.200462,0.730206,-0.13113,0.269794,0
mistral,681,detector_evasive,NEUTRAL,0.029183,0.394041,0.576776,-0.364858,0.423224,0
human,682,-,NEUTRAL,0.016994,0.148358,0.834648,-0.131364,0.165352,0
gpt,682,baseline,NEGATIVE,0.073912,0.884483,0.041605,-0.810571,0.958395,1
mistral,682,baseline,NEGATIVE,0.047442,0.831376,0.121181,-0.783934,0.878819,1
gpt,682,human_like,NEUTRAL,0.074994,0.12502,0.799986,-0.050027,0.200014,0
mistral,682,human_like,NEGATIVE,0.012139,0.596793,0.391068,-0.584654,0.608932,1
gpt,682,detector_aware,NEGATIVE,0.047363,0.681806,0.27083,-0.634443,0.72917,1
mistral,682,detector_aware,NEGATIVE,0.019801,0.528587,0.451612,-0.508786,0.548388,1
gpt,682,detector_evasive,NEUTRAL,0.00924,0.349166,0.641594,-0.339926,0.358406,0
mistral,682,detector_evasive,NEUTRAL,0.014932,0.087086,0.897981,-0.072154,0.102019,0
human,683,-,NEUTRAL,0.010578,0.162124,0.827297,-0.151546,0.172703,0
gpt,683,baseline,POSITIVE,0.423279,0.306339,0.270382,0.11694,0.729618,1
mistral,683,baseline,NEGATIVE,0.035592,0.632343,0.332065,-0.596751,0.667935,1
gpt,683,human_like,NEUTRAL,0.053915,0.137327,0.808757,-0.083412,0.191243,0
mistral,683,human_like,NEGATIVE,0.019815,0.766634,0.213551,-0.746819,0.786449,1
gpt,683,detector_aware,NEUTRAL,0.015016,0.352346,0.632638,-0.33733,0.367362,0
mistral,683,detector_aware,NEUTRAL,0.010606,0.259858,0.729536,-0.249252,0.270464,0
gpt,683,detector_evasive,NEUTRAL,0.007216,0.075359,0.917426,-0.068143,0.082574,0
mistral,683,detector_evasive,NEUTRAL,0.0501,0.214146,0.735754,-0.164046,0.264246,0
human,684,-,NEUTRAL,0.247133,0.049259,0.703608,0.197874,0.296392,0
gpt,684,baseline,NEUTRAL,0.177337,0.088264,0.734399,0.089073,0.265601,0
mistral,684,baseline,NEUTRAL,0.024336,0.021807,0.953857,0.002529,0.046143,0
gpt,684,human_like,NEUTRAL,0.016579,0.250544,0.732877,-0.233966,0.267123,0
mistral,684,human_like,NEUTRAL,0.02157,0.077147,0.901283,-0.055577,0.098717,0
gpt,684,detector_aware,NEUTRAL,0.024428,0.141194,0.834378,-0.116766,0.165622,0
mistral,684,detector_aware,NEUTRAL,0.085899,0.026015,0.888087,0.059884,0.111913,0
gpt,684,detector_evasive,NEUTRAL,0.025852,0.019102,0.955046,0.00675,0.044954,0
mistral,684,detector_evasive,NEUTRAL,0.02607,0.280491,0.693438,-0.254421,0.306562,0
human,685,-,POSITIVE,0.531925,0.035274,0.4328,0.496651,0.5672,1
gpt,685,baseline,NEUTRAL,0.4544,0.025266,0.520334,0.429134,0.479666,0
mistral,685,baseline,NEUTRAL,0.018884,0.057162,0.923954,-0.038278,0.076046,0
gpt,685,human_like,NEUTRAL,0.027041,0.138666,0.834293,-0.111625,0.165707,0
mistral,685,human_like,NEUTRAL,0.047379,0.071634,0.880986,-0.024255,0.119014,0
gpt,685,detector_aware,NEGATIVE,0.010459,0.708933,0.280608,-0.698474,0.719392,1
mistral,685,detector_aware,NEUTRAL,0.01765,0.338843,0.643507,-0.321193,0.356493,0
gpt,685,detector_evasive,NEUTRAL,0.02475,0.036676,0.938575,-0.011926,0.061425,0
mistral,685,detector_evasive,NEUTRAL,0.04195,0.258589,0.699461,-0.21664,0.300539,0
human,686,-,POSITIVE,0.97937,0.003139,0.017491,0.976231,0.982509,1
gpt,686,baseline,POSITIVE,0.593659,0.010881,0.39546,0.582777,0.60454,1
mistral,686,baseline,NEUTRAL,0.089139,0.043979,0.866881,0.04516,0.133119,0
gpt,686,human_like,NEUTRAL,0.013895,0.043019,0.943086,-0.029124,0.056914,0
mistral,686,human_like,NEUTRAL,0.023058,0.472462,0.50448,-0.449404,0.49552,0
gpt,686,detector_aware,NEUTRAL,0.039641,0.045059,0.9153,-0.005418,0.0847,0
mistral,686,detector_aware,NEUTRAL,0.034821,0.033699,0.93148,0.001122,0.06852,0
gpt,686,detector_evasive,NEUTRAL,0.073833,0.042199,0.883968,0.031635,0.116032,0
mistral,686,detector_evasive,NEUTRAL,0.050059,0.082006,0.867935,-0.031947,0.132065,0
human,687,-,NEUTRAL,0.418483,0.101653,0.479864,0.31683,0.520136,0
gpt,687,baseline,POSITIVE,0.575957,0.010261,0.413782,0.565696,0.586218,1
mistral,687,baseline,NEUTRAL,0.062433,0.041731,0.895837,0.020702,0.104163,0
gpt,687,human_like,NEUTRAL,0.022606,0.056171,0.921223,-0.033565,0.078777,0
mistral,687,human_like,NEUTRAL,0.029864,0.045588,0.924548,-0.015724,0.075452,0
gpt,687,detector_aware,NEUTRAL,0.012308,0.15362,0.834072,-0.141311,0.165928,0
mistral,687,detector_aware,NEUTRAL,0.023007,0.075368,0.901626,-0.052361,0.098374,0
gpt,687,detector_evasive,NEUTRAL,0.02651,0.034453,0.939037,-0.007943,0.060963,0
mistral,687,detector_evasive,NEUTRAL,0.0392,0.149355,0.811444,-0.110155,0.188556,0
human,688,-,NEUTRAL,0.034245,0.263987,0.701768,-0.229742,0.298232,0
gpt,688,baseline,NEUTRAL,0.37661,0.011759,0.611632,0.364851,0.388368,0
mistral,688,baseline,NEUTRAL,0.01875,0.119135,0.862115,-0.100385,0.137885,0
gpt,688,human_like,NEUTRAL,0.021794,0.021261,0.956945,0.000533,0.043055,0
mistral,688,human_like,NEUTRAL,0.021385,0.291888,0.686727,-0.270503,0.313273,0
gpt,688,detector_aware,NEUTRAL,0.027011,0.24215,0.73084,-0.215139,0.26916,0
mistral,688,detector_aware,NEUTRAL,0.099849,0.100619,0.799532,-0.00077,0.200468,0
gpt,688,detector_evasive,NEGATIVE,0.004514,0.667638,0.327848,-0.663125,0.672152,1
mistral,688,detector_evasive,NEUTRAL,0.029033,0.102528,0.868439,-0.073494,0.131561,0
human,689,-,NEUTRAL,0.198324,0.23165,0.570026,-0.033326,0.429974,0
gpt,689,baseline,POSITIVE,0.624571,0.025204,0.350225,0.599367,0.649775,1
mistral,689,baseline,NEGATIVE,0.026242,0.566955,0.406803,-0.540713,0.593197,1
gpt,689,human_like,NEUTRAL,0.023584,0.062795,0.913621,-0.039212,0.086379,0
mistral,689,human_like,NEUTRAL,0.031297,0.384073,0.58463,-0.352776,0.41537,0
gpt,689,detector_aware,NEUTRAL,0.017934,0.289277,0.692789,-0.271342,0.307211,0
mistral,689,detector_aware,NEUTRAL,0.063197,0.008571,0.928232,0.054626,0.071768,0
gpt,689,detector_evasive,NEUTRAL,0.04213,0.097408,0.860461,-0.055278,0.139539,0
mistral,689,detector_evasive,NEUTRAL,0.020074,0.278962,0.700964,-0.258888,0.299036,0
human,690,-,POSITIVE,0.794987,0.009949,0.195065,0.785038,0.804935,1
gpt,690,baseline,NEUTRAL,0.04255,0.141527,0.815923,-0.098976,0.184077,0
mistral,690,baseline,NEUTRAL,0.017602,0.10046,0.881938,-0.082858,0.118062,0
gpt,690,human_like,NEUTRAL,0.014054,0.038714,0.947231,-0.02466,0.052769,0
mistral,690,human_like,NEUTRAL,0.01978,0.114622,0.865598,-0.094842,0.134402,0
gpt,690,detector_aware,NEUTRAL,0.030921,0.099332,0.869747,-0.068411,0.130253,0
mistral,690,detector_aware,NEGATIVE,0.018013,0.650973,0.331014,-0.63296,0.668986,1
gpt,690,detector_evasive,NEUTRAL,0.047223,0.049056,0.903721,-0.001832,0.096279,0
mistral,690,detector_evasive,NEUTRAL,0.033047,0.021698,0.945254,0.011349,0.054746,0
human,691,-,NEUTRAL,0.110449,0.26899,0.620561,-0.158541,0.379439,0
gpt,691,baseline,POSITIVE,0.551502,0.035915,0.412583,0.515586,0.587417,1
mistral,691,baseline,NEUTRAL,0.042509,0.020828,0.936663,0.021681,0.063337,0
gpt,691,human_like,NEUTRAL,0.024997,0.021234,0.95377,0.003763,0.04623,0
mistral,691,human_like,NEUTRAL,0.072287,0.013753,0.913961,0.058534,0.086039,0
gpt,691,detector_aware,NEGATIVE,0.013255,0.522009,0.464736,-0.508755,0.535264,1
mistral,691,detector_aware,NEGATIVE,0.004049,0.778884,0.217067,-0.774834,0.782933,1
gpt,691,detector_evasive,NEUTRAL,0.033572,0.032654,0.933774,0.000919,0.066226,0
mistral,691,detector_evasive,NEUTRAL,0.029991,0.180964,0.789046,-0.150973,0.210954,0
human,692,-,NEUTRAL,0.141742,0.012411,0.845847,0.129332,0.154153,0
gpt,692,baseline,NEUTRAL,0.326477,0.018742,0.654781,0.307734,0.345219,0
mistral,692,baseline,NEUTRAL,0.067989,0.019055,0.912956,0.048935,0.087044,0
gpt,692,human_like,NEUTRAL,0.008748,0.142128,0.849124,-0.13338,0.150876,0
mistral,692,human_like,NEUTRAL,0.018396,0.009071,0.972533,0.009325,0.027467,0
gpt,692,detector_aware,NEUTRAL,0.01052,0.350762,0.638718,-0.340242,0.361282,0
mistral,692,detector_aware,NEUTRAL,0.031894,0.267534,0.700573,-0.23564,0.299427,0
gpt,692,detector_evasive,NEUTRAL,0.049605,0.198901,0.751494,-0.149296,0.248506,0
mistral,692,detector_evasive,NEUTRAL,0.036537,0.234156,0.729306,-0.197619,0.270694,0
human,693,-,NEUTRAL,0.041999,0.010148,0.947853,0.031852,0.052147,0
gpt,693,baseline,NEUTRAL,0.160059,0.091475,0.748465,0.068584,0.251535,0
mistral,693,baseline,NEUTRAL,0.191388,0.070024,0.738588,0.121364,0.261412,0
gpt,693,human_like,NEUTRAL,0.035067,0.034568,0.930365,0.000499,0.069635,0
mistral,693,human_like,NEUTRAL,0.022914,0.316863,0.660224,-0.293949,0.339776,0
gpt,693,detector_aware,NEUTRAL,0.01378,0.236191,0.750029,-0.22241,0.249971,0
mistral,693,detector_aware,NEUTRAL,0.0157,0.194137,0.790163,-0.178437,0.209837,0
gpt,693,detector_evasive,NEUTRAL,0.027952,0.066319,0.905729,-0.038366,0.094271,0
mistral,693,detector_evasive,NEUTRAL,0.035031,0.061665,0.903304,-0.026633,0.096696,0
human,694,-,NEUTRAL,0.090023,0.026293,0.883684,0.06373,0.116316,0
gpt,694,baseline,POSITIVE,0.495494,0.015988,0.488518,0.479506,0.511482,1
mistral,694,baseline,NEUTRAL,0.101474,0.019781,0.878745,0.081694,0.121255,0
gpt,694,human_like,NEUTRAL,0.029873,0.03484,0.935286,-0.004967,0.064714,0
mistral,694,human_like,NEUTRAL,0.094501,0.03004,0.875459,0.06446,0.124541,0
gpt,694,detector_aware,NEUTRAL,0.061769,0.024636,0.913595,0.037133,0.086405,0
mistral,694,detector_aware,NEUTRAL,0.019154,0.022153,0.958693,-0.002998,0.041307,0
gpt,694,detector_evasive,NEUTRAL,0.089415,0.039248,0.871337,0.050167,0.128663,0
mistral,694,detector_evasive,NEUTRAL,0.076131,0.049888,0.873981,0.026243,0.126019,0
human,695,-,NEGATIVE,0.00903,0.594458,0.396511,-0.585428,0.603489,1
gpt,695,baseline,POSITIVE,0.811793,0.008963,0.179244,0.80283,0.820756,1
mistral,695,baseline,NEUTRAL,0.153381,0.018889,0.82773,0.134492,0.17227,0
gpt,695,human_like,NEUTRAL,0.166553,0.022873,0.810574,0.14368,0.189426,0
mistral,695,human_like,NEUTRAL,0.125634,0.018628,0.855738,0.107007,0.144262,0
gpt,695,detector_aware,NEUTRAL,0.03467,0.034045,0.931285,0.000624,0.068715,0
mistral,695,detector_aware,NEUTRAL,0.017077,0.03639,0.946533,-0.019313,0.053467,0
gpt,695,detector_evasive,NEUTRAL,0.039208,0.104256,0.856536,-0.065048,0.143464,0
mistral,695,detector_evasive,NEUTRAL,0.090158,0.022435,0.887407,0.067722,0.112593,0
human,696,-,NEUTRAL,0.251792,0.007884,0.740324,0.243907,0.259676,0
gpt,696,baseline,POSITIVE,0.629834,0.015213,0.354953,0.614622,0.645047,1
mistral,696,baseline,NEUTRAL,0.021951,0.020508,0.957541,0.001442,0.042459,0
gpt,696,human_like,NEUTRAL,0.116258,0.020046,0.863697,0.096212,0.136303,0
mistral,696,human_like,NEUTRAL,0.055727,0.031937,0.912336,0.023789,0.087664,0
gpt,696,detector_aware,NEUTRAL,0.249653,0.018801,0.731546,0.230852,0.268454,0
mistral,696,detector_aware,NEUTRAL,0.016557,0.035571,0.947871,-0.019014,0.052129,0
gpt,696,detector_evasive,NEUTRAL,0.046337,0.05392,0.899743,-0.007582,0.100257,0
mistral,696,detector_evasive,NEUTRAL,0.09319,0.03877,0.86804,0.054421,0.13196,0
human,697,-,NEUTRAL,0.127481,0.01281,0.859709,0.114671,0.140291,0
gpt,697,baseline,POSITIVE,0.623425,0.011222,0.365353,0.612203,0.634647,1
mistral,697,baseline,NEUTRAL,0.176365,0.014921,0.808713,0.161444,0.191287,0
gpt,697,human_like,NEUTRAL,0.047764,0.018837,0.933399,0.028927,0.066601,0
mistral,697,human_like,NEUTRAL,0.416524,0.01771,0.565766,0.398814,0.434234,0
gpt,697,detector_aware,NEUTRAL,0.044647,0.039513,0.91584,0.005133,0.08416,0
mistral,697,detector_aware,NEUTRAL,0.072468,0.026274,0.901259,0.046194,0.098741,0
gpt,697,detector_evasive,NEUTRAL,0.071177,0.056159,0.872665,0.015018,0.127335,0
mistral,697,detector_evasive,NEUTRAL,0.053436,0.045685,0.900879,0.007751,0.099121,0
human,698,-,NEUTRAL,0.217583,0.009225,0.773192,0.208357,0.226808,0
gpt,698,baseline,POSITIVE,0.58656,0.02383,0.389611,0.56273,0.610389,1
mistral,698,baseline,NEUTRAL,0.262607,0.018844,0.718549,0.243763,0.281451,0
gpt,698,human_like,NEUTRAL,0.070307,0.012732,0.91696,0.057575,0.08304,0
mistral,698,human_like,NEUTRAL,0.125973,0.032415,0.841612,0.093559,0.158388,0
gpt,698,detector_aware,NEUTRAL,0.039089,0.028053,0.932858,0.011036,0.067142,0
mistral,698,detector_aware,NEUTRAL,0.068074,0.017935,0.913991,0.050138,0.086009,0
gpt,698,detector_evasive,NEUTRAL,0.114114,0.032829,0.853057,0.081286,0.146943,0
mistral,698,detector_evasive,NEUTRAL,0.051554,0.066042,0.882404,-0.014489,0.117596,0
human,699,-,NEUTRAL,0.267934,0.108715,0.623352,0.159219,0.376648,0
gpt,699,baseline,NEUTRAL,0.433516,0.018989,0.547495,0.414527,0.452505,0
mistral,699,baseline,NEUTRAL,0.056277,0.024059,0.919663,0.032218,0.080337,0
gpt,699,human_like,NEUTRAL,0.094775,0.023591,0.881634,0.071184,0.118366,0
mistral,699,human_like,NEUTRAL,0.076786,0.013079,0.910135,0.063706,0.089865,0
gpt,699,detector_aware,NEUTRAL,0.065529,0.045523,0.888948,0.020006,0.111052,0
mistral,699,detector_aware,NEUTRAL,0.081159,0.029513,0.889327,0.051646,0.110673,0
gpt,699,detector_evasive,NEUTRAL,0.079846,0.030962,0.889192,0.048884,0.110808,0
mistral,699,detector_evasive,NEUTRAL,0.075664,0.044734,0.879602,0.03093,0.120398,0
human,700,-,NEUTRAL,0.079621,0.047749,0.87263,0.031873,0.12737,0
gpt,700,baseline,POSITIVE,0.679545,0.016538,0.303917,0.663008,0.696083,1
mistral,700,baseline,NEUTRAL,0.125527,0.024841,0.849632,0.100686,0.150368,0
gpt,700,human_like,NEUTRAL,0.094845,0.009354,0.8958,0.085491,0.1042,0
mistral,700,human_like,NEUTRAL,0.102304,0.026129,0.871567,0.076175,0.128433,0
gpt,700,detector_aware,NEUTRAL,0.051599,0.040355,0.908046,0.011243,0.091954,0
mistral,700,detector_aware,NEUTRAL,0.124611,0.041787,0.833602,0.082825,0.166398,0
gpt,700,detector_evasive,NEUTRAL,0.069621,0.041109,0.88927,0.028513,0.11073,0
mistral,700,detector_evasive,NEUTRAL,0.076762,0.043802,0.879435,0.03296,0.120565,0
human,701,-,NEUTRAL,0.046035,0.097574,0.856391,-0.051539,0.143609,0
gpt,701,baseline,POSITIVE,0.703368,0.016109,0.280523,0.687258,0.719477,1
mistral,701,baseline,NEUTRAL,0.022289,0.02041,0.957301,0.00188,0.042699,0
gpt,701,human_like,NEUTRAL,0.06576,0.019518,0.914723,0.046242,0.085277,0
mistral,701,human_like,NEUTRAL,0.157035,0.014991,0.827973,0.142044,0.172027,0
gpt,701,detector_aware,NEUTRAL,0.071261,0.037667,0.891072,0.033594,0.108928,0
mistral,701,detector_aware,NEUTRAL,0.020058,0.019414,0.960528,0.000644,0.039472,0
gpt,701,detector_evasive,NEUTRAL,0.103013,0.031004,0.865983,0.072008,0.134017,0
mistral,701,detector_evasive,NEUTRAL,0.093508,0.047636,0.858856,0.045871,0.141144,0
human,702,-,NEUTRAL,0.016508,0.015087,0.968405,0.00142,0.031595,0
gpt,702,baseline,NEUTRAL,0.464621,0.024507,0.510873,0.440114,0.489127,0
mistral,702,baseline,NEUTRAL,0.057112,0.015482,0.927406,0.04163,0.072594,0
gpt,702,human_like,NEUTRAL,0.068359,0.032201,0.89944,0.036159,0.10056,0
mistral,702,human_like,NEUTRAL,0.105356,0.029809,0.864834,0.075547,0.135166,0
gpt,702,detector_aware,NEUTRAL,0.109666,0.026476,0.863858,0.083189,0.136142,0
mistral,702,detector_aware,NEUTRAL,0.025645,0.177695,0.79666,-0.152051,0.20334,0
gpt,702,detector_evasive,NEUTRAL,0.09085,0.033728,0.875421,0.057122,0.124579,0
mistral,702,detector_evasive,NEUTRAL,0.04503,0.083184,0.871786,-0.038154,0.128214,0
human,703,-,NEUTRAL,0.015915,0.374912,0.609173,-0.358997,0.390827,0
gpt,703,baseline,POSITIVE,0.525032,0.019569,0.455399,0.505462,0.544601,1
mistral,703,baseline,NEUTRAL,0.123196,0.023841,0.852963,0.099355,0.147037,0
gpt,703,human_like,NEUTRAL,0.06753,0.015924,0.916546,0.051606,0.083454,0
mistral,703,human_like,NEUTRAL,0.182696,0.016257,0.801047,0.166439,0.198953,0
gpt,703,detector_aware,NEUTRAL,0.060623,0.028079,0.911299,0.032544,0.088701,0
mistral,703,detector_aware,NEUTRAL,0.017619,0.021869,0.960511,-0.00425,0.039489,0
gpt,703,detector_evasive,NEUTRAL,0.106992,0.09224,0.800768,0.014752,0.199232,0
mistral,703,detector_evasive,NEUTRAL,0.117615,0.036617,0.845768,0.080998,0.154232,0
human,704,-,NEUTRAL,0.032072,0.228806,0.739122,-0.196735,0.260878,0
